Date,Open,High,Low,Close,Adj Close,Volume
2022-12-07,2.450000,2.460000,2.360000,2.410000,2.410000,5426300
2022-12-08,2.430000,2.480000,2.280000,2.380000,2.380000,9562800
2022-12-09,2.360000,2.470000,2.290000,2.320000,2.320000,7587600
2022-12-12,2.320000,2.390000,2.270000,2.340000,2.340000,6638200
2022-12-13,2.440000,2.450000,2.010000,2.160000,2.160000,31092700
2022-12-14,2.120000,2.180000,2.060000,2.110000,2.110000,9123300
2022-12-15,2.120000,2.160000,2.061000,2.130000,2.130000,14824600
2022-12-16,2.170000,2.450000,2.170000,2.420000,2.420000,32634700
2022-12-19,2.340000,2.410000,2.170000,2.320000,2.320000,11666500
2022-12-20,2.270000,2.390000,2.250000,2.260000,2.260000,6184000
2022-12-21,2.295000,2.490000,2.225000,2.450000,2.450000,8910300
2022-12-22,2.400000,2.570000,2.210000,2.490000,2.490000,11744800
2022-12-23,2.480000,2.700000,2.360000,2.620000,2.620000,9467000
2022-12-27,2.540000,2.590000,2.350000,2.390000,2.390000,8641700
2022-12-28,2.350000,2.450000,2.245000,2.260000,2.260000,8631500
2022-12-29,2.280000,2.395000,2.280000,2.390000,2.390000,8676700
2022-12-30,2.290000,2.320000,2.120000,2.160000,2.160000,15294900
2023-01-03,2.220000,2.270000,2.110000,2.220000,2.220000,9985000
2023-01-04,2.230000,2.330000,2.140000,2.300000,2.300000,12101000
2023-01-05,2.260000,2.280000,2.130000,2.140000,2.140000,9514700
2023-01-06,2.150000,2.160000,2.100000,2.130000,2.130000,6943200
2023-01-09,2.210000,2.320000,2.190000,2.280000,2.280000,8720100
2023-01-10,2.270000,2.380000,2.190000,2.380000,2.380000,7720000
2023-01-11,2.390000,2.450000,2.305000,2.390000,2.390000,10833600
2023-01-12,2.430000,2.550000,2.330000,2.510000,2.510000,8586700
2023-01-13,2.500000,2.570000,2.400000,2.550000,2.550000,8430500
2023-01-17,2.580000,2.640000,2.485000,2.600000,2.600000,7886000
2023-01-18,2.610000,2.710000,2.440000,2.470000,2.470000,10210400
2023-01-19,2.430000,2.430000,2.290000,2.390000,2.390000,9043300
2023-01-20,2.430000,2.550000,2.400000,2.520000,2.520000,9630900
2023-01-23,2.610000,2.790000,2.530000,2.760000,2.760000,15552700
2023-01-24,2.710000,2.730000,2.560000,2.610000,2.610000,11976500
2023-01-25,2.570000,2.700000,2.480000,2.670000,2.670000,9181600
2023-01-26,2.750000,2.758000,2.450000,2.530000,2.530000,20754700
2023-01-27,2.480000,2.890000,2.420000,2.770000,2.770000,35690700
2023-01-30,2.690000,2.720000,2.510000,2.510000,2.510000,13450600
2023-01-31,2.550000,2.730000,2.490000,2.710000,2.710000,15994400
2023-02-01,2.680000,2.730000,2.550000,2.660000,2.660000,14907900
2023-02-02,2.770000,2.870000,2.655000,2.730000,2.730000,19064900
2023-02-03,2.650000,2.980000,2.610000,2.750000,2.750000,21576700
2023-02-06,2.810000,2.815000,2.610000,2.630000,2.630000,14702700
2023-02-07,2.680000,2.690000,2.510000,2.610000,2.610000,15109700
2023-02-08,2.570000,2.600000,2.510000,2.540000,2.540000,8509000
2023-02-09,2.580000,2.590000,2.390000,2.420000,2.420000,12643100
2023-02-10,2.410000,2.420000,2.330000,2.420000,2.420000,10952800
2023-02-13,2.460000,2.540000,2.350000,2.510000,2.510000,11413700
2023-02-14,2.450000,2.580000,2.400000,2.510000,2.510000,12760500
2023-02-15,2.500000,2.670000,2.470000,2.670000,2.670000,13896500
2023-02-16,2.600000,2.630000,2.510000,2.510000,2.510000,13301700
2023-02-17,2.510000,2.520000,2.410000,2.510000,2.510000,9848700
2023-02-21,2.470000,2.480000,2.360000,2.390000,2.390000,12758600
2023-02-22,2.400000,2.410000,2.260000,2.330000,2.330000,14651200
2023-02-23,2.370000,2.410000,2.120000,2.200000,2.200000,29253800
2023-02-24,2.140000,2.260000,2.100000,2.220000,2.220000,15974300
2023-02-27,2.250000,2.270000,2.170000,2.220000,2.220000,9902900
2023-02-28,2.220000,2.300000,2.200000,2.220000,2.220000,8635300
2023-03-01,2.210000,2.210000,2.110000,2.160000,2.160000,9624100
2023-03-02,2.130000,2.150000,2.075000,2.110000,2.110000,9948800
2023-03-03,2.140000,2.200000,2.120000,2.150000,2.150000,9614000
2023-03-06,2.160000,2.170000,2.050000,2.060000,2.060000,10597200
2023-03-07,2.060000,2.060000,1.950000,1.950000,1.950000,16770600
2023-03-08,1.965000,1.965000,1.880000,1.940000,1.940000,10223300
2023-03-09,1.910000,1.960000,1.790000,1.800000,1.800000,10784900
2023-03-10,1.810000,1.810000,1.640000,1.660000,1.660000,17428900
2023-03-13,1.650000,1.820000,1.600000,1.780000,1.780000,18254900
2023-03-14,1.840000,1.870000,1.640000,1.670000,1.670000,16651400
2023-03-15,1.650000,1.660000,1.550000,1.640000,1.640000,12125700
2023-03-16,1.640000,1.750000,1.600000,1.750000,1.750000,9598900
2023-03-17,1.760000,1.770000,1.670000,1.700000,1.700000,13241900
2023-03-20,1.670000,1.680000,1.500000,1.560000,1.560000,18444600
2023-03-21,1.600000,1.640000,1.550000,1.620000,1.620000,13778600
2023-03-22,1.610000,1.620000,1.510000,1.510000,1.510000,15154600
2023-03-23,1.540000,1.540000,1.350000,1.410000,1.410000,19098200
2023-03-24,1.380000,1.500000,1.360000,1.500000,1.500000,12080400
2023-03-27,1.500000,1.530000,1.420000,1.510000,1.510000,7796600
2023-03-28,1.500000,1.500000,1.460000,1.480000,1.480000,5881800
2023-03-29,1.510000,1.520000,1.470000,1.500000,1.500000,10322800
2023-03-30,1.510000,1.520000,1.390000,1.400000,1.400000,19186500
